iter	Passed	Remaining
0	9	9255
1	18	9237
2	27	9123
3	36	9209
4	46	9171
5	55	9139
6	64	9087
7	73	9116
8	81	8950
9	89	8897
10	99	8922
11	108	8916
12	117	8893
13	125	8867
14	134	8844
15	143	8812
16	152	8790
17	161	8795
18	170	8798
19	179	8784
20	188	8776
21	197	8768
22	206	8770
23	215	8760
24	224	8751
25	233	8743
26	242	8738
27	251	8743
28	261	8759
29	270	8756
30	279	8742
31	288	8738
32	298	8736
33	307	8723
34	315	8710
35	324	8687
36	333	8678
37	342	8671
38	351	8657
39	360	8642
40	369	8650
41	378	8639
42	387	8632
43	397	8628
44	406	8618
45	415	8620
46	425	8626
47	435	8639
48	445	8652
49	455	8655
50	465	8663
51	475	8662
52	484	8662
53	494	8665
54	504	8663
55	513	8656
56	522	8649
57	531	8638
58	539	8605
59	549	8603
60	558	8600
61	567	8593
62	577	8590
63	587	8591
64	596	8581
65	606	8577
66	615	8573
67	625	8567
68	635	8568
69	644	8563
70	654	8561
71	664	8560
72	673	8554
73	682	8541
74	692	8539
75	702	8537
76	711	8525
77	720	8515
78	729	8508
79	738	8494
80	747	8477
81	755	8460
82	764	8446
83	773	8436
84	783	8429
85	791	8416
86	800	8405
87	809	8391
88	818	8377
89	826	8361
90	836	8351
91	845	8343
92	853	8327
93	863	8327
94	872	8316
95	881	8303
96	891	8298
97	900	8292
98	910	8286
99	919	8279
100	929	8270
101	938	8264
102	947	8254
103	957	8245
104	966	8234
105	975	8223
106	984	8213
107	993	8203
108	1002	8193
109	1012	8194
110	1022	8187
111	1031	8181
112	1041	8172
113	1050	8162
114	1060	8157
115	1069	8153
116	1079	8147
117	1089	8140
118	1098	8136
119	1108	8130
120	1118	8125
121	1128	8119
122	1137	8113
123	1147	8105
124	1156	8097
125	1166	8090
126	1175	8083
127	1185	8075
128	1194	8065
129	1203	8054
130	1212	8045
131	1221	8032
132	1230	8022
133	1239	8012
134	1248	8001
135	1257	7990
136	1266	7978
137	1276	7971
138	1285	7962
139	1294	7952
140	1304	7944
141	1312	7933
142	1322	7923
143	1331	7912
144	1340	7905
145	1350	7898
146	1359	7891
147	1369	7883
148	1379	7879
149	1389	7871
150	1398	7865
151	1408	7859
152	1418	7852
153	1427	7840
154	1435	7827
155	1445	7819
156	1455	7813
157	1464	7806
158	1472	7785
159	1481	7776
160	1490	7767
161	1500	7761
162	1510	7755
163	1519	7746
164	1529	7740
165	1539	7733
166	1548	7725
167	1558	7716
168	1567	7707
